ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,administrativa basada,baja,0.0695,0.0578,tecnm-2023-lineamientos-operacion-posgrado.pdf,pdf,p. 105,105,0.0695,tfidf=0.0595; bonus=0.0100,Actividades consideradas como Gestión administrativa: participación en comisiones para evaluación de Posgrados de TecNM o SNP del CONAHCyT; participación en el plan de mejora del posgrado; actualización de plan de estudios del programa de posgrado; actualización o diseño de asignaturas del plan de estudios del programa de posgrado. • (1 punto) Participa en al menos una actividad. Página104 • (0 puntos) No tiene participación.,tecnm_2023_lineamientos_operacion_posgrado_54bf773120_b0105_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\institucionales\tecnm-2023-lineamientos-operacion-posgrado.pdf,"covey-2014-siete-habitos.pdf, p. 140; covey-2014-siete-habitos.pdf, p. 82; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 100; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 473; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 78; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 105; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 78",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 8 referencia(s) de baja similitud que podrían introducir ruido.
1,administrativa basada,baja,0.0695,0.0578,covey-2014-siete-habitos.pdf,pdf,p. 82,82,0.0673,tfidf=0.0573; bonus=0.0100,"Pero creo que el empleo superior de la imaginación está en armonía con el uso de la conciencia moral para trascenderse a uno mismo y crear una vida de servicio basada en un propósito único y en los principios que gobiernan la realidad interdependiente. La identificación de roles y metas Desde luego, el cerebro izquierdo, lógico-verbal, también es importante cuando uno intenta captar las 81",covey_2014_siete_habitos_a4fec75fe5_b0082_f005,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\metodologia\covey-2014-siete-habitos.pdf,"covey-2014-siete-habitos.pdf, p. 140; covey-2014-siete-habitos.pdf, p. 82; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 100; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 473; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 78; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 105; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 78",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 8 referencia(s) de baja similitud que podrían introducir ruido.
1,administrativa basada,baja,0.0695,0.0578,hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf,pdf,p. 473,473,0.0659,tfidf=0.0559; bonus=0.0100,"A continuación, Jang y Barnett (1994) crearon una matriz de similitud de 35 × 35 empresas, basada en la coocurrencia de palabras en las cartas. En este caso, utilizaron el coeficiente de corre- lación para medir la similitud entre las compañías.",hernandez_sampieri_et_al_2014_metodologia_investigacion_61a58b625c_b0473_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\metodologia\hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf,"covey-2014-siete-habitos.pdf, p. 140; covey-2014-siete-habitos.pdf, p. 82; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 100; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 473; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 78; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 105; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 78",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 8 referencia(s) de baja similitud que podrían introducir ruido.
1,administrativa basada,baja,0.0695,0.0578,hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf,pdf,p. 78,78,0.0551,tfidf=0.0451; bonus=0.0100,"Los jóvenes que hicieron tal planteamiento no habían enfocado ni delimitado su estudio. Además, el segundo supuesto objetivo de investi- gación no es tal, sino que sólo se trata de una “consecuencia administrativa”, que incluso es vaga. ¿Qué significa “contrarrestar la reincidencia delictiva” y “adecuada administración”? 2.",hernandez_sampieri_et_al_2014_metodologia_investigacion_61a58b625c_b0078_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\metodologia\hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf,"covey-2014-siete-habitos.pdf, p. 140; covey-2014-siete-habitos.pdf, p. 82; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 100; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 473; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 78; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 105; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 78",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 8 referencia(s) de baja similitud que podrían introducir ruido.
1,administrativa basada,baja,0.0695,0.0578,covey-2014-siete-habitos.pdf,pdf,p. 140,140,0.0537,tfidf=0.0437; bonus=0.0100,"Para el espíritu humano es mucho más ennoblecedor permitir que la gente se juzgue a sí misma, y no juzgarla. Y en una cultura basada en la confianza alta, también es más exacto. En varios casos, las personas saben en sus corazones, mejor que en los informes, cómo están yendo las cosas.",covey_2014_siete_habitos_a4fec75fe5_b0140_f004,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\metodologia\covey-2014-siete-habitos.pdf,"covey-2014-siete-habitos.pdf, p. 140; covey-2014-siete-habitos.pdf, p. 82; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 100; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 473; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 78; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 105; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 78",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 8 referencia(s) de baja similitud que podrían introducir ruido.
1,administrativa basada,baja,0.0695,0.0578,tecnm-2023-lineamientos-operacion-posgrado.pdf,pdf,p. 78,78,0.0524,tfidf=0.0424; bonus=0.0100,"La DPII del TecNM, mediante una circular informará de los periodos y disposiciones referentes a los trámites para recibir solicitudes de apertura de nuevos posgrados, pero cuando se trate de solicitudes de apertura con demanda específica o a petición expresa del sector industrial o de otro sector de la sociedad, no será necesario esperar a que se abra una convocatoria. Página77 La evaluación de las solicitudes de apertura es ineludible, y se iniciará con una revisión administrativa de la DPII. Un expediente de solicitud incompleto, o que se entregue fuera del",tecnm_2023_lineamientos_operacion_posgrado_54bf773120_b0078_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\institucionales\tecnm-2023-lineamientos-operacion-posgrado.pdf,"covey-2014-siete-habitos.pdf, p. 140; covey-2014-siete-habitos.pdf, p. 82; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 100; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 473; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 78; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 105; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 78",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 8 referencia(s) de baja similitud que podrían introducir ruido.
1,administrativa basada,baja,0.0695,0.0578,hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf,pdf,p. 100,100,0.0515,tfidf=0.0415; bonus=0.0100,"El diseño, muestra, análisis, resultados y discusión deben ser apropiados de acuerdo con el planteamiento del Resultados y discusión estudio revisado (consistentes) Con el propósito de seleccionar las fuentes primarias que servirán para elaborar el marco teórico, es conveniente hacerse las siguientes preguntas: • ¿La referencia se relaciona con mi problema de investigación? ¿Cómo? • ¿Qué aspectos trata? • ¿Ayuda a que se realice más rápido y profundamente mi estudio? • ¿Desde qué óptica y perspectiva aborda el tema (psicológica, antropológica, sociológica, médica, legal, económica, comunicológica, administrativa, de ingeniería industrial, etcétera)?",hernandez_sampieri_et_al_2014_metodologia_investigacion_61a58b625c_b0100_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\metodologia\hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf,"covey-2014-siete-habitos.pdf, p. 140; covey-2014-siete-habitos.pdf, p. 82; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 100; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 473; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 78; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 105; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 78",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 8 referencia(s) de baja similitud que podrían introducir ruido.
1,administrativa basada,baja,0.0695,0.0578,tecnm-2023-lineamientos-operacion-posgrado.pdf,pdf,p. 105,105,0.0472,tfidf=0.0372; bonus=0.0100,CRITERIO 6.2. Gestión administrativa,tecnm_2023_lineamientos_operacion_posgrado_54bf773120_b0105_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\institucionales\tecnm-2023-lineamientos-operacion-posgrado.pdf,"covey-2014-siete-habitos.pdf, p. 140; covey-2014-siete-habitos.pdf, p. 82; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 100; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 473; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 78; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 105; tecnm-2023-lineamientos-operacion-posgrado.pdf, p. 78",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 8 referencia(s) de baja similitud que podrían introducir ruido.
2,campaña proceso,media,0.1413,0.0928,hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf,pdf,p. 52,52,0.1413,tfidf=0.1313; bonus=0.0100,"Se uti- liza en primer lugar para descubrir y perfeccionar preguntas de investigación. • En la búsqueda cualitativa, en lugar de iniciar con una teoría particular y luego “voltear” al mundo empírico para confir- mar si la teoría es apoyada por los hechos, el investigador comienza examinando éstos y en el proceso desarrolla una teoría “congruente” con lo que observa y registra. • En la mayoría de los estudios cualitativos no se prueban hi- pótesis, sino que se generan durante el proceso y se perfec- cionan conforme se recaban más datos o son un resultado del estudio. • Esta aproximación se basa en métodos de recolección de los datos no estandarizados.",hernandez_sampieri_et_al_2014_metodologia_investigacion_61a58b625c_b0052_f005,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\metodologia\hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf,"covey-2014-siete-habitos.pdf, p. 23; covey-2014-siete-habitos.pdf, p. 30; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 424; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 44; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 460; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 518; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 52","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 2 referencia(s) de baja similitud que podrían introducir ruido."
2,campaña proceso,media,0.1413,0.0928,covey-2014-siete-habitos.pdf,pdf,p. 30,30,0.0961,tfidf=0.0861; bonus=0.0100,"C o v e y Conocimiento (qué, por qué) HÁBITOS Deseo (querer Capacidades (cómo) Hábitos efectivos Principios y pautas de conducta internalizados. El cambio de ser y ver es un proceso progresivo: el ser cambia al ver, que a su vez cambia al ser, y así sucesivamente en una espiral as cendente de crecimiento. Trabajando sobre el conocimiento, la capacidad y el deseo, podemos irrumpir en nuevos niveles de efectividad personal e interpersonal cuando rompemos con viejos paradigmas que pueden haber sido para nosotros una fuente de pseudo seguridad durante años.",covey_2014_siete_habitos_a4fec75fe5_b0030_f001,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\seminario-i-mga\referencias-seminario-i\metodologia\covey-2014-siete-habitos.pdf,"covey-2014-siete-habitos.pdf, p. 23; covey-2014-siete-habitos.pdf, p. 30; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 424; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 44; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 460; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 518; hernandez-sampieri-et-al-2014-metodologia-investigacion.pdf, p. 52","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 2 referencia(s) de baja similitud que podrían introducir ruido."
