ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,adaptación,media,0.1645,0.1394,Robbins y Coulter - Administracion - 13a ed - 2018.pdf,pdf,p. 131,131,0.1645,tfidf=0.0945; bonus=0.0700,"Esto se debe principalmente a que el aprendizaje estructurado ayuda a reducir la incertidumbre inherente a una nueva situación y suaviza la transición a un nuevo puesto de trabajo. Un dato adicional acerca de la adaptación a un nuevo empleo es el valor que tienen los contactos dentro de la organización como valiosas fuentes de información. Los colegas, supervisores y mentores son más útiles como fuentes de información precisa acerca de su trabajo y de la organización que los programas de orientación formales o la documentación organizacional.",Robbins_y_Coulter___Administracion___13a_ed___2018_a7ebf6903d_b0131_f004,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Coulter - Administracion - 13a ed - 2018.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 131; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 189; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 180; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 563; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 655; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 86; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 90","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
1,adaptación,media,0.1645,0.1394,Robbins y Coulter - Administracion - 13a ed - 2018.pdf,pdf,p. 131,131,0.1644,tfidf=0.0944; bonus=0.0700,"La importancia de este tema es resaltada por la investiga­ ción que nos dice que el individuo promedio cambia de empleo 10.2 veces en 20 años, por lo que debe prepararse para adap­ tarse a muchas situaciones laborales nuevas. Una de sus metas en un nuevo empleo debería ser el logro de una adaptación exitosa. ¿Esto qué implica? Se logra una transición exitosa si, después de seis meses en su nuevo puesto, puede decir que se siente cómodo, confiado y acep­ tado por sus compañeros de trabajo.",Robbins_y_Coulter___Administracion___13a_ed___2018_a7ebf6903d_b0131_f003,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Coulter - Administracion - 13a ed - 2018.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 131; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 189; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 180; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 563; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 655; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 86; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 90","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
1,adaptación,media,0.1645,0.1394,Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,pdf,p. 563,563,0.145,tfidf=0.0750; bonus=0.0700,"Ray Dalio (fotografía), fundador del fondo de cobertura masivo Bridgewater Associates, dice que para los nuevos empleados no es fácil hacer la transición hacia la cultura orientada a los datos que existe en su organización. Dalio comentó que “hay un periodo —generalmente de unos 18 meses— de adaptación. Y algunos logran adaptarse, pero otros no”.",Robbins_y_Judge___Comportamiento_organizacional___17a_ed___2017_38384cf67b_b0563_f003,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 131; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 189; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 180; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 563; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 655; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 86; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 90","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
1,adaptación,media,0.1645,0.1394,Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,pdf,p. 180,180,0.1425,tfidf=0.0725; bonus=0.0700,Suelen ser socialmente dominantes; las personas que son más asertivas suelen “tomar el control” en vez de los introvertidos.31 Rasgos más importantes para el éxito en los negocios en compañías de adquisiciones Figura 5-1 Más importantes Menos importantes Persistencia Buena comunicación oral Atención a los detalles Trabajo en equipo Eficiencia Flexibilidad/capacidad de adaptación Habilidades analíticas Entusiasmo Establecimiento de estándares elevados Habilidades para escuchar,Robbins_y_Judge___Comportamiento_organizacional___17a_ed___2017_38384cf67b_b0180_f004,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 131; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 189; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 180; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 563; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 655; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 86; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 90","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
1,adaptación,media,0.1645,0.1394,Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,pdf,p. 86,86,0.1364,tfidf=0.0664; bonus=0.0700,"El Public Utilities Board, el orga- nismo encargado del suministro del agua en Singapur, informa que 27 por ciento de su fuerza laboral tiene más de 55 años, ya que los trabajadores mayores dan estabilidad al personal.22 Por su parte, industrias como las del cuidado de la salud, la educación, el gobierno y las compañías sin fines de lucro a menudo dan la bienvenida a los traba- jadores mayores.23 Sin embargo, aún existe la percepción de que los adultos mayores tienen una menor capacidad de adaptación y están menos motivados para aprender el",Robbins_y_Judge___Comportamiento_organizacional___17a_ed___2017_38384cf67b_b0086_f005,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 131; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 189; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 180; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 563; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 655; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 86; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 90","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
1,adaptación,media,0.1645,0.1394,Robbins y Coulter - Administracion - 13a ed - 2018.pdf,pdf,p. 189,189,0.1214,tfidf=0.0514; bonus=0.0700,"Por ejemplo, la ley reconoce que una persona con problemas visuales no po- dría desempeñarse como piloto de avión, alguien con parálisis cerebral severa no podría ser cirujano y un individuo afectado por profundas limitaciones motrices estaría imposibilitado para trabajar como bombero. Sin embargo, la tecnología de las computadoras y otros dispositivos de adaptación han derribado muchos obstáculos laborales para ciertos empleados con discapacidades. En una encuesta reciente de la Sociedad para la administración de recursos humanos, 61 por ciento de los profesionales de RH encuestados afirmaron que sus organizaciones ya incluyen las discapacidades en sus planes de diversidad e inclusión.",Robbins_y_Coulter___Administracion___13a_ed___2018_a7ebf6903d_b0189_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Coulter - Administracion - 13a ed - 2018.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 131; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 189; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 180; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 563; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 655; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 86; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 90","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
1,adaptación,media,0.1645,0.1394,Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,pdf,p. 90,90,0.1204,tfidf=0.0504; bonus=0.0700,"Discapacidades Las políticas laborales, tanto oficiales como circunstanciales, con respecto a los indivi- duos con discapacidades físicas o mentales varían de una nación a otra. Países como Australia, Estados Unidos, Reino Unido y Japón cuentan con leyes específicas que pro- tegen a los individuos con discapacidad.58 Estas leyes han dado como resultado ma- yor aceptación y adaptación de las personas con impedimentos físicos o mentales.",Robbins_y_Judge___Comportamiento_organizacional___17a_ed___2017_38384cf67b_b0090_f002,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 131; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 189; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 180; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 563; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 655; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 86; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 90","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
1,adaptación,media,0.1645,0.1394,Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,pdf,p. 655,655,0.1204,tfidf=0.0504; bonus=0.0700,"Hay algunas evidencias de que los gerentes que piensan de manera integral, y reconocen la importancia de equilibrar los factores paradójicos, son más eficaces, especialmente para generar un comporta- miento creativo y de adaptación en sus subalternos.42 teoría de la paradoja Plantea que la paradoja fundamental en la administración es que no existe un estatus óptimo final para una organización. Estimulación de una cultura innovadora ¿Cómo se volvería más innovadora una organización?",Robbins_y_Judge___Comportamiento_organizacional___17a_ed___2017_38384cf67b_b0655_f003,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 131; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 189; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 180; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 563; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 655; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 86; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 90","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
2,administrativa,media,0.1862,0.1445,Robbins y Coulter - Administracion - 13a ed - 2018.pdf,pdf,p. 45,45,0.1862,tfidf=0.1162; bonus=0.0700,"Si dichos objetivos no se han logrado, es labor del gerente corregir la situación. Este proceso de supervisar, comparar y corregir es la función de control. organización Función administrativa que tiene que ver con disponer y estructurar el trabajo para lograr los objetivos organizacionales dirección Función administrativa que involucra trabajar con y a través de las personas para lograr los objetivos organizacionales control Función administrativa que consiste en supervisar, comparar y corregir el desempeño laboral ¿Qué tan bien este enfoque en las funciones logra describir la labor gerencial? ¿En todos los casos, los gerentes planean, organizan, dirigen y luego controlan?",Robbins_y_Coulter___Administracion___13a_ed___2018_a7ebf6903d_b0045_f005,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Coulter - Administracion - 13a ed - 2018.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 30; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 440; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 45; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 483; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 69; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 74; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 558","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
2,administrativa,media,0.1862,0.1445,Robbins y Coulter - Administracion - 13a ed - 2018.pdf,pdf,p. 45,45,0.1575,tfidf=0.0875; bonus=0.0700,"Cuando los gerentes motivan a sus subordinados, ayudan a resolver los conflictos de los grupos de trabajo, influyen en los individuos o en los equipos durante la ejecución de las tareas, seleccionan los ca- nales de comunicación más efectivos o afrontan de cualquier manera problemas relacionados con el comportamiento del personal; es decir, están dirigiendo. planeación Función administrativa que involucra la definición de objetivos, el establecimiento de estrategias para lograrlos y el desarrollo de planes para integrar y coordinar las actividades La última función administrativa es el control.",Robbins_y_Coulter___Administracion___13a_ed___2018_a7ebf6903d_b0045_f004,C:\Users\delaCruz\Documents\AulaTeX-Academico\ITESCA\maestria-en-gestion-administrativa\fundamentos-de-gestion-administrativa-mga\referencias-fundamentos-de-gestion-administrativa\libros--fundamentos-de-gestion-administrativa\Robbins y Coulter - Administracion - 13a ed - 2018.pdf,"Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 30; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 440; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 45; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 483; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 69; Robbins y Coulter - Administracion - 13a ed - 2018.pdf, p. 74; Robbins y Judge - Comportamiento organizacional - 17a ed - 2017.pdf, p. 558","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
